Location,Mobile,Action,Date,Time,Points Awarded,Total Points,License Plate
OptSpot Car Wash - Main St,5550643378,BONUS,2026-01-03,20:06:57,50,50,ROP4381
OptSpot Car Wash - Main St,5550797615,BONUS,2026-01-03,20:49:29,50,60,JOI7642
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-01-04,08:24:33,10,20,WOC8452
OptSpot Car Wash - Main St,5550669975,CHECKIN,2026-01-04,11:21:21,10,10,ZRL4949
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-01-04,12:19:02,10,10,ZVH5912
OptSpot Car Wash - Main St,5550331535,REDEEM,2026-01-04,18:19:18,-50,0,YYA9224
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-01-05,12:05:47,10,10,BRU1307
OptSpot Car Wash - Main St,5550422179,CHECKIN,2026-01-05,16:46:07,10,10,SUC3139
OptSpot Car Wash - Main St,5550997373,CHECKIN,2026-01-05,18:35:54,10,30,FYM3711
OptSpot Car Wash - Main St,5550682139,CHECKIN,2026-01-05,18:49:16,10,130,FZI0969
OptSpot Car Wash - Main St,5550298910,CHECKIN,2026-01-06,12:21:18,10,10,CEL8410
OptSpot Car Wash - Main St,5550071744,CHECKIN,2026-01-06,18:28:28,10,10,GRH3727
OptSpot Car Wash - Main St,5550738797,REDEEM,2026-01-07,07:53:58,-50,0,BRU1307
OptSpot Car Wash - Main St,5550969209,CHECKIN,2026-01-07,12:37:03,10,20,UGC6955
OptSpot Car Wash - Main St,5550346859,CHECKIN,2026-01-07,16:45:24,10,80,JLH3777
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-01-07,16:50:28,10,10,BRU1307
OptSpot Car Wash - Main St,5550654813,CHECKIN,2026-01-08,11:19:02,10,30,SPV9234
OptSpot Car Wash - Main St,5550634487,CHECKIN,2026-01-08,11:32:50,10,70,DLJ7273
OptSpot Car Wash - Main St,5550422179,CHECKIN,2026-01-08,13:11:04,10,20,SUC3139
OptSpot Car Wash - Main St,5550993508,CHECKIN,2026-01-08,15:04:02,10,10,YXV4105
OptSpot Car Wash - Main St,5550616338,CHECKIN,2026-01-08,17:44:03,10,10,EZL0907
OptSpot Car Wash - Main St,5550505612,CHECKIN,2026-01-08,18:26:30,10,35,FCV6022
OptSpot Car Wash - Main St,5550803265,CHECKIN,2026-01-09,07:18:58,10,40,YXG1102
OptSpot Car Wash - Main St,5550118959,CHECKIN,2026-01-09,11:14:44,10,20,AEN9202
OptSpot Car Wash - Main St,5550669975,CHECKIN,2026-01-09,11:43:53,10,20,ZRL4949
OptSpot Car Wash - Main St,5550088914,CHECKIN,2026-01-09,13:24:33,10,10,HRQ1530
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-01-09,15:54:09,10,60,DXB1398
OptSpot Car Wash - Main St,5550616338,CHECKIN,2026-01-09,16:11:19,10,20,EZL0907
OptSpot Car Wash - Main St,5550296745,REDEEM,2026-01-09,16:47:50,-50,0,ZVH5912
OptSpot Car Wash - Main St,5550634487,REFERRAL,2026-01-09,17:10:05,100,170,DLJ7273
OptSpot Car Wash - Main St,5550801280,BONUS,2026-01-09,17:17:39,25,35,GIA7055
OptSpot Car Wash - Main St,5550081247,BONUS,2026-01-09,18:48:23,25,35,SGI8849
OptSpot Car Wash - Main St,5550616338,BONUS,2026-01-09,20:08:13,25,45,EZL0907
OptSpot Car Wash - Main St,5550107798,REDEEM,2026-01-09,20:10:55,-50,0,DFP1234
OptSpot Car Wash - Main St,5550738797,BONUS,2026-01-09,20:29:57,25,35,BRU1307
OptSpot Car Wash - Main St,5550527276,CHECKIN,2026-01-10,12:47:03,10,60,XNB8320
OptSpot Car Wash - Main St,5550346859,REDEEM,2026-01-10,13:51:24,-100,0,JLH3777
OptSpot Car Wash - Main St,5550915112,CHECKIN,2026-01-10,16:22:09,10,10,AHM5582
OptSpot Car Wash - Main St,5550861574,CHECKIN,2026-01-10,16:31:06,10,10,RAY1800
OptSpot Car Wash - Main St,5550487455,CHECKIN,2026-01-10,17:05:41,10,20,LTG4022
OptSpot Car Wash - Main St,5550601800,CHECKIN,2026-01-10,17:30:34,10,10,DJI4566
OptSpot Car Wash - Main St,5550601334,CHECKIN,2026-01-10,17:42:40,10,10,RJZ5654
OptSpot Car Wash - Main St,5550735392,CHECKIN,2026-01-10,20:07:09,10,10,OFP0106
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-01-11,07:46:45,10,10,QLN1982
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-01-11,11:18:39,10,20,QLN1982
OptSpot Car Wash - Main St,5550997373,CHECKIN,2026-01-11,12:55:13,10,40,FYM3711
OptSpot Car Wash - Main St,5550346859,BONUS,2026-01-11,16:34:06,25,25,JLH3777
OptSpot Car Wash - Main St,5550996971,CHECKIN,2026-01-12,08:42:33,10,95,ATV9441
OptSpot Car Wash - Main St,5550527276,BONUS,2026-01-12,16:08:22,50,110,XNB8320
OptSpot Car Wash - Main St,5550665905,CHECKIN,2026-01-12,18:09:15,10,70,YHQ8740
OptSpot Car Wash - Main St,5550801280,CHECKIN,2026-01-12,18:33:11,10,45,GIA7055
OptSpot Car Wash - Main St,5550665905,CHECKIN,2026-01-13,07:52:35,10,80,YHQ8740
OptSpot Car Wash - Main St,5550566456,REFERRAL,2026-01-13,07:53:01,100,100,GER0422
OptSpot Car Wash - Main St,5550797615,CHECKIN,2026-01-13,10:55:27,10,70,JOI7642
OptSpot Car Wash - Main St,5550189179,CHECKIN,2026-01-13,16:13:58,10,20,HTX5751
OptSpot Car Wash - Main St,5550298910,CHECKIN,2026-01-13,18:57:17,10,20,CEL8410
OptSpot Car Wash - Main St,5550970342,BONUS,2026-01-13,19:15:49,50,50,QOR0916
OptSpot Car Wash - Main St,5550289666,REFERRAL,2026-01-14,07:02:44,100,100,UWI8318
OptSpot Car Wash - Main St,5550339320,CHECKIN,2026-01-14,09:39:33,10,10,YAJ7319
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-01-14,16:16:19,10,30,QLN1982
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-01-14,16:17:35,10,10,ZVH5912
OptSpot Car Wash - Main St,5550298910,CHECKIN,2026-01-14,17:43:25,10,30,CEL8410
OptSpot Car Wash - Main St,5550732052,CHECKIN,2026-01-14,18:48:02,10,20,KHF5514
OptSpot Car Wash - Main St,5550868524,BONUS,2026-01-15,10:32:40,25,25,NMO7780
OptSpot Car Wash - Main St,5550286193,CHECKIN,2026-01-15,14:04:20,10,45,LAI6624
OptSpot Car Wash - Main St,5550345705,CHECKIN,2026-01-15,14:37:07,10,10,CRH9874
OptSpot Car Wash - Main St,5550868524,CHECKIN,2026-01-15,14:51:17,10,35,NMO7780
OptSpot Car Wash - Main St,5550203322,CHECKIN,2026-01-15,16:59:56,10,10,XJS2419
OptSpot Car Wash - Main St,5550711163,REFERRAL,2026-01-15,18:41:38,100,100,RMR0744
OptSpot Car Wash - Main St,5550487455,CHECKIN,2026-01-16,07:01:53,10,30,LTG4022
OptSpot Car Wash - Main St,5550414463,CHECKIN,2026-01-16,07:18:40,10,20,ZBF3460
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-01-16,14:41:35,10,40,QLN1982
OptSpot Car Wash - Main St,5550310244,CHECKIN,2026-01-16,14:49:56,10,10,ZHZ6484
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-01-16,19:10:22,10,30,WOC8452
OptSpot Car Wash - Main St,5550118959,CHECKIN,2026-01-17,08:17:50,10,30,AEN9202
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-01-17,08:23:24,10,40,WOC8452
OptSpot Car Wash - Main St,5550534150,CHECKIN,2026-01-17,16:37:55,10,10,KZN0452
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-01-17,16:51:52,10,50,QLN1982
OptSpot Car Wash - Main St,5550286193,CHECKIN,2026-01-17,17:56:26,10,55,LAI6624
OptSpot Car Wash - Main St,5550618439,BONUS,2026-01-17,18:07:17,50,50,RYL8922
OptSpot Car Wash - Main St,5550135461,CHECKIN,2026-01-17,18:47:58,10,10,JSN5802
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-01-17,19:30:34,10,20,ZVH5912
OptSpot Car Wash - Main St,5550711163,REFERRAL,2026-01-17,19:37:20,100,200,RMR0744
OptSpot Car Wash - Main St,5550118959,CHECKIN,2026-01-18,07:47:02,10,40,AEN9202
OptSpot Car Wash - Main St,5550585941,CHECKIN,2026-01-18,11:26:36,10,10,MUS6487
OptSpot Car Wash - Main St,5550665905,CHECKIN,2026-01-18,13:05:19,10,90,YHQ8740
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-01-18,13:56:28,10,130,SDW8042
OptSpot Car Wash - Main St,5550682139,REDEEM,2026-01-18,15:31:30,-100,30,FZI0969
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-01-18,16:57:20,10,30,ZVH5912
OptSpot Car Wash - Main St,5550682139,CHECKIN,2026-01-18,17:45:52,10,40,FZI0969
OptSpot Car Wash - Main St,5550812085,CHECKIN,2026-01-18,18:13:48,10,30,IPU5482
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-01-18,18:38:56,10,40,ZVH5912
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-01-18,19:18:22,10,45,BRU1307
OptSpot Car Wash - Main St,5550801280,CHECKIN,2026-01-19,14:30:41,10,55,GIA7055
OptSpot Car Wash - Main St,5550505612,CHECKIN,2026-01-19,18:27:08,10,45,FCV6022
OptSpot Car Wash - Main St,5550076819,CHECKIN,2026-01-20,17:00:06,10,10,NND5718
OptSpot Car Wash - Main St,5550798207,REFERRAL,2026-01-20,20:06:43,100,100,WHY6906
OptSpot Car Wash - Main St,5550861574,BONUS,2026-01-21,07:37:11,50,60,RAY1800
OptSpot Car Wash - Main St,5550464656,CHECKIN,2026-01-21,16:00:52,10,10,VWC8856
OptSpot Car Wash - Main St,5550306327,CHECKIN,2026-01-21,16:49:37,10,140,SDW8042
OptSpot Car Wash - Main St,5550365746,CHECKIN,2026-01-21,17:06:23,10,60,OYS4715
OptSpot Car Wash - Main St,5550076819,CHECKIN,2026-01-21,17:24:56,10,20,NND5718
OptSpot Car Wash - Main St,5550918938,REDEEM,2026-01-21,19:47:29,-50,30,SFM7517
OptSpot Car Wash - Main St,5550915112,BONUS,2026-01-21,20:34:26,50,60,AHM5582
OptSpot Car Wash - Main St,5550585941,CHECKIN,2026-01-21,20:54:14,10,20,MUS6487
OptSpot Car Wash - Main St,5550798207,BONUS,2026-01-22,11:05:43,25,125,WHY6906
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-01-22,11:30:23,10,70,DXB1398
OptSpot Car Wash - Main St,5550801280,CHECKIN,2026-01-22,17:08:40,10,65,GIA7055
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-01-22,18:02:31,10,80,DXB1398
OptSpot Car Wash - Main St,5550118959,CHECKIN,2026-01-22,18:10:50,10,50,AEN9202
OptSpot Car Wash - Main St,5550503935,CHECKIN,2026-01-22,20:22:06,10,50,WOC8452
OptSpot Car Wash - Main St,5550620148,CHECKIN,2026-01-23,07:43:38,10,20,BNI7404
OptSpot Car Wash - Main St,5550365746,CHECKIN,2026-01-23,15:04:41,10,70,OYS4715
OptSpot Car Wash - Main St,5550997373,CHECKIN,2026-01-23,18:06:27,10,50,FYM3711
OptSpot Car Wash - Main St,5550797615,REDEEM,2026-01-23,18:15:05,-50,20,JOI7642
OptSpot Car Wash - Main St,5550531971,REDEEM,2026-01-24,08:43:48,-100,0,UNA7702
OptSpot Car Wash - Main St,5550085965,CHECKIN,2026-01-24,11:46:18,10,10,KPN4272
OptSpot Car Wash - Main St,5550235612,CHECKIN,2026-01-24,14:01:57,10,10,BAO9641
OptSpot Car Wash - Main St,5550526169,CHECKIN,2026-01-24,16:48:54,10,10,XVG7894
OptSpot Car Wash - Main St,5550616338,BONUS,2026-01-24,17:45:25,50,95,EZL0907
OptSpot Car Wash - Main St,5550996971,BONUS,2026-01-24,17:56:42,25,120,ATV9441
OptSpot Car Wash - Main St,5550085965,CHECKIN,2026-01-25,09:08:50,10,20,KPN4272
OptSpot Car Wash - Main St,5550422179,CHECKIN,2026-01-25,12:26:41,10,30,SUC3139
OptSpot Car Wash - Main St,5550306327,REDEEM,2026-01-25,13:42:39,-100,40,SDW8042
OptSpot Car Wash - Main St,5550738797,CHECKIN,2026-01-25,16:06:46,10,55,BRU1307
OptSpot Car Wash - Main St,5550711163,CHECKIN,2026-01-25,17:41:09,10,210,RMR0744
OptSpot Car Wash - Main St,5550046228,BONUS,2026-01-25,19:07:49,50,60,AUQ4291
OptSpot Car Wash - Main St,5550081247,CHECKIN,2026-01-25,19:12:57,10,45,SGI8849
OptSpot Car Wash - Main St,5550286193,REDEEM,2026-01-26,10:55:08,-50,5,LAI6624
OptSpot Car Wash - Main St,5550118959,CHECKIN,2026-01-26,12:46:37,10,60,AEN9202
OptSpot Car Wash - Main St,5550296745,CHECKIN,2026-01-26,17:10:03,10,50,ZVH5912
OptSpot Car Wash - Main St,5550196694,REDEEM,2026-01-26,19:57:30,-50,0,NQM7242
OptSpot Car Wash - Main St,5550345705,CHECKIN,2026-01-26,20:56:26,10,20,CRH9874
OptSpot Car Wash - Main St,5550479187,CHECKIN,2026-01-27,07:14:22,10,10,DXD5218
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-01-27,07:45:55,10,90,DXB1398
OptSpot Car Wash - Main St,5550654813,CHECKIN,2026-01-27,10:42:33,10,40,SPV9234
OptSpot Car Wash - Main St,5550682139,CHECKIN,2026-01-27,16:51:51,10,50,FZI0969
OptSpot Car Wash - Main St,5550999914,CHECKIN,2026-01-27,17:08:59,10,100,DXB1398
OptSpot Car Wash - Main St,5550864998,REDEEM,2026-01-27,17:48:56,-100,0,ZRO6770
OptSpot Car Wash - Main St,5550339320,CHECKIN,2026-01-27,17:56:09,10,20,YAJ7319
OptSpot Car Wash - Main St,5550918938,CHECKIN,2026-01-28,08:39:54,10,40,SFM7517
OptSpot Car Wash - Main St,5550797615,REDEEM,2026-01-28,15:37:35,-50,0,JOI7642
OptSpot Car Wash - Main St,5550668480,CHECKIN,2026-01-28,16:29:01,10,70,KNT2621
OptSpot Car Wash - Main St,5550670487,CHECKIN,2026-01-28,16:48:03,10,10,CTG2286
OptSpot Car Wash - Main St,5550970342,BONUS,2026-01-28,18:56:22,25,75,QOR0916
OptSpot Car Wash - Main St,5550704314,CHECKIN,2026-01-28,19:25:53,10,60,QLN1982
OptSpot Car Wash - Main St,5550963110,BONUS,2026-01-28,19:28:36,25,25,AIA5947
OptSpot Car Wash - Main St,5550601334,BONUS,2026-01-29,08:10:34,25,35,RJZ5654
OptSpot Car Wash - Main St,5550991340,CHECKIN,2026-01-29,11:38:49,10,10,PSX8543
OptSpot Car Wash - Main St,5550007540,CHECKIN,2026-01-29,12:37:49,10,10,BQF0514
OptSpot Car Wash - Main St,5550235612,REDEEM,2026-01-29,17:18:45,-100,0,BAO9641
OptSpot Car Wash - Main St,5550932180,CHECKIN,2026-01-29,18:17:29,10,10,QHY7912
OptSpot Car Wash - Main St,5550753240,CHECKIN,2026-01-29,18:37:17,10,10,SMG0090
OptSpot Car Wash - Main St,5550088914,CHECKIN,2026-01-30,14:19:59,10,20,HRQ1530
OptSpot Car Wash - Main St,5550339320,BONUS,2026-01-30,15:52:17,50,70,YAJ7319
OptSpot Car Wash - Main St,5550585941,REDEEM,2026-01-30,15:58:02,-50,0,MUS6487
OptSpot Car Wash - Main St,5550451524,CHECKIN,2026-01-30,16:04:35,10,20,PVO5262
OptSpot Car Wash - Main St,5550331535,CHECKIN,2026-01-30,16:07:30,10,10,YYA9224
